respondent_id,gender,age_years,country,education_level,undergraduate_major,current_role,current_industry,years_experience_current_role,yearly_compensation_usd
1,Female,18,India,Professional degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1,"0-10,000"
2,Female,25,India,Master’s degree,"Computer science (software engineering, etc.)",Not employed,,,
3,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0,
4,Female,18,Other,Bachelor’s degree,"Computer science (software engineering, etc.)",Other,Computers/Technology,0,"0-10,000"
5,Female,22,United Kingdom of Great Britain and Northern Ireland,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,1,"30-40,000"
6,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,,
7,Female,30,India,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Analyst,Computers/Technology,4,
8,Female,18,Indonesia,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15,"0-10,000"
9,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Not employed,,,
10,Female,22,Tunisia,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,0,
11,Female,25,Portugal,Master’s degree,"Information technology, networking, or system administration",Consultant,Insurance/Risk Assessment,3,"30-40,000"
12,Female,25,India,Doctoral degree,Engineering (non-computer focused),Student,Academics/Education,4,"0-10,000"
13,Female,35,India,Professional degree,"Computer science (software engineering, etc.)",Other,Academics/Education,10,"10-20,000"
14,Female,18,France,Master’s degree,Mathematics or statistics,Student,I am a student,3,"0-10,000"
15,Female,22,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Mathematics or statistics,Data Scientist,Computers/Technology,0,"40-50,000"
16,Female,22,India,Doctoral degree,Mathematics or statistics,Student,I am a student,0,
17,Female,35,Spain,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Other,10,
18,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15,"0-10,000"
19,Female,22,India,Master’s degree,Mathematics or statistics,Statistician,Medical/Pharmaceutical,0,
20,Female,18,India,Bachelor’s degree,"Information technology, networking, or system administration",Student,I am a student,,
21,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0,
22,Female,18,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0,"0-10,000"
23,Female,22,Netherlands,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Student,I am a student,5,"0-10,000"
24,Female,22,India,Master’s degree,Mathematics or statistics,Business Analyst,Accounting/Finance,0,"0-10,000"
25,Female,55,Israel,Master’s degree,Mathematics or statistics,Data Analyst,Broadcasting/Communications,20,"60-70,000"
